seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_blend_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
D-BasketballPass_416x240_50p_yuv420_8b	0.001	0.3331730769230769	99840	36.04883773475136	0.00793962	0.00142245	0.00465782	0.0	0.0	0.0	0.0196455
D-BasketballPass_416x240_50p_yuv420_8b	0.004	0.16434294871794872	99840	32.5065888539898	0.00243225	0.00128464	0.00468856	0.0	0.0	0.0	0.0114864
D-BasketballPass_416x240_50p_yuv420_8b	0.02	0.06883012820512821	99840	28.524326692526103	0.000947745	0.00182476	0.0041463	0.0	0.0	0.0	0.00946685
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0001	1.5668269230769232	99840	40.869470381448174	0.0145953	0.0019534	0.00732539	0.0	0.0	0.0	0.0265809
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0004	0.8394230769230769	99840	36.54826630006833	0.0122583	0.00182967	0.00793387	0.0	0.0	0.0	0.0258046
D-BlowingBubbles_416x240_50p_yuv420_8b	0.001	0.5272435897435898	99840	33.82217500416743	0.00919868	0.00127411	0.00474415	0.0	0.0	0.0	0.0178264
D-BlowingBubbles_416x240_50p_yuv420_8b	0.004	0.22532051282051282	99840	30.049452529381387	0.00311351	0.00171361	0.00472429	0.0	0.0	0.0	0.0120639
D-BlowingBubbles_416x240_50p_yuv420_8b	0.02	0.08197115384615385	99840	26.517153185781517	0.000708967	0.00157555	0.00399237	0.0	0.0	0.0	0.00879214
D-RaceHorses_416x240_30p_yuv420_8b	0.0001	1.3778846153846154	99840	42.02211139941316	0.0143088	0.00139381	0.00716598	0.0	0.0	0.0	0.0258011
D-RaceHorses_416x240_30p_yuv420_8b	0.0004	0.8179487179487179	99840	37.662517667324764	0.0121637	0.00192311	0.00726767	0.0	0.0	0.0	0.0276943
D-RaceHorses_416x240_30p_yuv420_8b	0.001	0.5137820512820512	99840	34.58163643401043	0.00978414	0.00140975	0.0069215	0.0	0.0	0.0	0.0210477
D-RaceHorses_416x240_30p_yuv420_8b	0.004	0.2420673076923077	99840	30.72806418495885	0.00279488	0.00140233	0.00479749	0.0	0.0	0.0	0.0116804
