seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_blend_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
kodim06	0.004	0.28179931640625	393216	29.49035456477265	0.0287196	0.00404085	0.0271292	0.0	0.0	0.0	0.0717865
kodim06	0.02	0.07961018880208333	393216	25.471633157782108	0.00830671	0.00510614	0.0191327	0.0	0.0	0.0	0.0444762
kodim07	0.0001	0.877685546875	393216	42.449339234198774	0.0446824	0.00481714	0.0276073	0.0	0.0	0.0	0.0885686
kodim07	0.0004	0.49749755859375	393216	39.10954816154274	0.0320147	0.00519898	0.0277842	0.0	0.0	0.0	0.0774204
kodim07	0.001	0.33795166015625	393216	36.67451200012358	0.0244095	0.00478213	0.0275025	0.0	0.0	0.0	0.0687073
kodim07	0.004	0.17460123697916666	393216	32.755233545462	0.013209	0.00458283	0.0275799	0.0	0.0	0.0	0.0570841
kodim07	0.02	0.07879638671875	393216	28.522354689877638	0.00418809	0.0040108	0.0271195	0.0	0.0	0.0	0.0469981
kodim08	0.0001	2.1986083984375	393216	39.90672476346409	0.0625665	0.00427119	0.0285965	0.0	0.0	0.0	0.108539
kodim08	0.0004	1.2867228190104167	393216	35.47634250136346	0.054523	0.00464873	0.0283796	0.0	0.0	0.0	0.0991827
kodim08	0.001	0.8787638346354166	393216	32.65950745242991	0.0496619	0.0050731	0.0284219	0.0	0.0	0.0	0.0953609
kodim08	0.004	0.4475301106770833	393216	28.56195506070599	0.03973	0.00433288	0.0278884	0.0	0.0	0.0	0.0833959
kodim08	0.02	0.18194580078125	393216	24.234484244263825	0.0213076	0.00409724	0.0277766	0.0	0.0	0.0	0.0687592
kodim09	0.0001	0.7733357747395834	393216	40.92613247908112	0.0378064	0.00469816	0.0271207	0.0	0.0	0.0	0.0810871
kodim09	0.0004	0.4377237955729167	393216	38.45354152794799	0.0292903	0.00495457	0.0271411	0.0	0.0	0.0	0.0745246
kodim09	0.001	0.28973388671875	393216	36.319625882735444	0.0247892	0.00495213	0.027612	0.0	0.0	0.0	0.0711647
kodim09	0.004	0.14591471354166666	393216	32.90450877171273	0.0142612	0.00419832	0.0269344	0.0	0.0	0.0	0.0558764
kodim09	0.02	0.053080240885416664	393216	28.720757171573837	0.00335509	0.00438403	0.0187972	0.0	0.0	0.0	0.0384006
kodim10	0.0001	0.834228515625	393216	41.079961164372946	0.0466703	0.00431786	0.0277067	0.0	0.0	0.0	0.090805
kodim10	0.0004	0.4520670572916667	393216	38.3479956996959	0.0361802	0.00518607	0.0276029	0.0	0.0	0.0	0.0821167
kodim10	0.001	0.2923990885416667	393216	36.17775079588437	0.0259822	0.00522705	0.0276046	0.0	0.0	0.0	0.0713121
kodim10	0.004	0.14650472005208334	393216	32.80139739200867	0.0143688	0.00503523	0.027541	0.0	0.0	0.0	0.0589961
kodim10	0.02	0.055582682291666664	393216	28.63117819003362	0.00472865	0.00570266	0.0198279	0.0	0.0	0.0	0.0412589
