seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
B-Cactus_1920x1080_50p_yuv420_8b	0.004	0.09859953703703704	2073600	33.31088255569051	0.0750978	0.0339868	0.466459	0.0	0.0	0.599449
B-Cactus_1920x1080_50p_yuv420_8b	0.02	0.03617283950617284	2073600	29.855950408116602	0.0242339	0.0544373	0.975651	0.0	0.0	1.07551
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0001	0.45798225308641977	2073600	42.275633341251684	0.162278	0.0466492	0.10793	0.0	0.0	0.349114
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0004	0.20293595679012347	2073600	39.84004572935482	0.159064	0.0659962	0.964145	0.0	0.0	1.22654
B-MarketPlace_1920x1080_60p_yuv420_10b	0.001	0.11941358024691358	2073600	38.17022708461516	0.0263099	0.025872	0.0542243	0.0	0.0	0.119501
B-MarketPlace_1920x1080_60p_yuv420_10b	0.004	0.05258873456790124	2073600	35.36815728944671	0.030688	0.0280243	0.0787815	0.0	0.0	0.155545
B-MarketPlace_1920x1080_60p_yuv420_10b	0.02	0.018912037037037036	2073600	32.30742076351704	0.0216108	0.0267438	0.0763944	0.0	0.0	0.151744
B-RitualDance_1920x1080_60p_yuv420_10b	0.0001	0.23608024691358026	2073600	47.46348414007726	0.128902	0.0424169	0.108197	0.0	0.0	0.311631
B-RitualDance_1920x1080_60p_yuv420_10b	0.0004	0.09700617283950617	2073600	44.667098494804655	0.0671562	0.0456506	0.143991	0.0	0.0	0.294049
B-RitualDance_1920x1080_60p_yuv420_10b	0.001	0.06411651234567901	2073600	42.74911662116527	0.0357463	0.0189922	0.0740777	0.0	0.0	0.146506
B-RitualDance_1920x1080_60p_yuv420_10b	0.004	0.0321875	2073600	39.7564800641896	0.0292753	0.0263205	0.0790342	0.0	0.0	0.161581
B-RitualDance_1920x1080_60p_yuv420_10b	0.02	0.013996913580246913	2073600	35.97717019520816	0.0130201	0.030523	0.0762903	0.0	0.0	0.141513
C-BQMall_832x480_60p_yuv420_8b	0.0001	1.0059695512820512	399360	41.74110047653627	0.0788738	0.0113457	0.178806	0.0	0.0	0.278588
C-BQMall_832x480_60p_yuv420_8b	0.0004	0.5744591346153847	399360	38.14000687677159	0.0958805	0.0111396	0.180959	0.0	0.0	0.298813
C-BQMall_832x480_60p_yuv420_8b	0.001	0.39419070512820514	399360	35.62026012937206	0.0615771	0.00558665	0.0495242	0.0	0.0	0.122617
C-BQMall_832x480_60p_yuv420_8b	0.004	0.19060496794871795	399360	31.682502920801817	0.0278978	0.00753607	0.0927088	0.0	0.0	0.134593
C-BQMall_832x480_60p_yuv420_8b	0.02	0.0664463141025641	399360	27.392349274723017	0.00568832	0.00514471	0.0165666	0.0	0.0	0.0352382
C-BasketballDrill_832x480_50p_yuv420_8b	0.0001	0.7359375	399360	42.43574645304229	0.0818764	0.0107017	0.188314	0.0	0.0	0.290631
C-BasketballDrill_832x480_50p_yuv420_8b	0.0004	0.3664863782051282	399360	38.91567829576051	0.0740517	0.0111109	0.184031	0.0	0.0	0.28065
C-BasketballDrill_832x480_50p_yuv420_8b	0.001	0.22143429487179486	399360	36.729545872681875	0.0356598	0.00543128	0.0552806	0.0	0.0	0.102883
C-BasketballDrill_832x480_50p_yuv420_8b	0.004	0.1116786858974359	399360	33.89510389525901	0.0108294	0.00798923	0.0947987	0.0	0.0	0.117716
C-BasketballDrill_832x480_50p_yuv420_8b	0.02	0.044090544871794875	399360	29.599966777014572	0.00297062	0.00675372	0.0171803	0.0	0.0	0.0319546
C-PartyScene_832x480_50p_yuv420_8b	0.0001	2.0030649038461537	399360	40.29779867030878	0.0898943	0.0111334	0.187726	0.0	0.0	0.297821
C-PartyScene_832x480_50p_yuv420_8b	0.0004	1.1461738782051283	399360	35.742869103051646	0.112196	0.0113594	0.181243	0.0	0.0	0.315172
C-PartyScene_832x480_50p_yuv420_8b	0.001	0.7474358974358974	399360	32.86560932088609	0.0815243	0.00596945	0.05545	0.0	0.0	0.149142
C-PartyScene_832x480_50p_yuv420_8b	0.004	0.33653846153846156	399360	28.653518031092503	0.0482884	0.00739739	0.0913006	0.0	0.0	0.15323
C-PartyScene_832x480_50p_yuv420_8b	0.02	0.09072516025641025	399360	24.338663702753966	0.00827621	0.00561233	0.0151199	0.0	0.0	0.0357551
C-RaceHorses_832x480_30p_yuv420_8b	0.0001	1.157772435897436	399360	41.89205618111938	0.072445	0.0134773	0.146517	0.0	0.0	0.241422
