seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
B-MarketPlace_1920x1080_60p_yuv420_10b	0.02	0.018912037037037036	2073600	32.3043211105044	0.00853373	0.00708843	0.0544782	0.0	0.0	0.0799418
B-RitualDance_1920x1080_60p_yuv420_10b	0.0001	0.23608024691358026	2073600	47.43294627248556	0.134643	0.0210626	0.0886563	0.0	0.0	0.269133
B-RitualDance_1920x1080_60p_yuv420_10b	0.0004	0.09700617283950617	2073600	44.65509443444846	0.0471039	0.0131154	0.0612312	0.0	0.0	0.139053
B-RitualDance_1920x1080_60p_yuv420_10b	0.001	0.06411651234567901	2073600	42.749864042010024	0.0423442	0.017806	0.084924	0.0	0.0	0.170308
B-RitualDance_1920x1080_60p_yuv420_10b	0.004	0.0321875	2073600	39.745845400053746	0.03095	0.0246428	0.114636	0.0	0.0	0.197025
B-RitualDance_1920x1080_60p_yuv420_10b	0.02	0.013996913580246913	2073600	35.97256099005861	0.00928906	0.0269509	0.117822	0.0	0.0	0.17633
C-BQMall_832x480_60p_yuv420_8b	0.0001	1.0059695512820512	399360	41.73179930073796	0.0847265	0.00664785	0.0247133	0.0	0.0	0.122217
C-BQMall_832x480_60p_yuv420_8b	0.0004	0.5744591346153847	399360	38.13877414377871	0.0419948	0.00201007	0.0119283	0.0	0.0	0.0590234
C-BQMall_832x480_60p_yuv420_8b	0.001	0.39419070512820514	399360	35.614261788779665	0.0511728	0.00392052	0.0171255	0.0	0.0	0.0766797
C-BQMall_832x480_60p_yuv420_8b	0.004	0.19060496794871795	399360	31.678669273039638	0.0399995	0.00900914	0.0338112	0.0	0.0	0.0903268
C-BQMall_832x480_60p_yuv420_8b	0.02	0.0664463141025641	399360	27.392363403212787	0.0077126	0.00287573	0.015386	0.0	0.0	0.0303203
C-BasketballDrill_832x480_50p_yuv420_8b	0.0001	0.7359375	399360	42.42815576529563	0.0480834	0.00246755	0.0115846	0.0	0.0	0.0661339
C-BasketballDrill_832x480_50p_yuv420_8b	0.0004	0.3664863782051282	399360	38.918937608070095	0.061303	0.00762549	0.0244107	0.0	0.0	0.100642
C-BasketballDrill_832x480_50p_yuv420_8b	0.001	0.22143429487179486	399360	36.73299788915197	0.0323222	0.00381734	0.0172555	0.0	0.0	0.058254
C-BasketballDrill_832x480_50p_yuv420_8b	0.004	0.1116786858974359	399360	33.89035551096733	0.0105502	0.00899602	0.0227075	0.0	0.0	0.0491543
C-BasketballDrill_832x480_50p_yuv420_8b	0.02	0.044090544871794875	399360	29.599136824770316	0.00461828	0.00526339	0.0177995	0.0	0.0	0.0328302
C-PartyScene_832x480_50p_yuv420_8b	0.0001	2.0030649038461537	399360	40.28547312654468	0.1228	0.010323	0.0336238	0.0	0.0	0.175714
C-PartyScene_832x480_50p_yuv420_8b	0.0004	1.1461738782051283	399360	35.74288123508631	0.0498257	0.00211659	0.0115171	0.0	0.0	0.067011
C-PartyScene_832x480_50p_yuv420_8b	0.001	0.7474358974358974	399360	32.86150105858346	0.0634095	0.00430733	0.0166377	0.0	0.0	0.0892203
C-PartyScene_832x480_50p_yuv420_8b	0.004	0.33653846153846156	399360	28.651938255158782	0.0607146	0.0064051	0.0239568	0.0	0.0	0.104873
C-PartyScene_832x480_50p_yuv420_8b	0.02	0.09072516025641025	399360	24.33889351214097	0.0112025	0.00275684	0.0149114	0.0	0.0	0.033874
C-RaceHorses_832x480_30p_yuv420_8b	0.0001	1.157772435897436	399360	41.88325371436869	0.104597	0.00972304	0.0338174	0.0	0.0	0.15586
C-RaceHorses_832x480_30p_yuv420_8b	0.0004	0.6596554487179487	399360	37.896654115006136	0.0398761	0.00215431	0.0119543	0.0	0.0	0.0574658
C-RaceHorses_832x480_30p_yuv420_8b	0.001	0.4161458333333333	399360	35.21284602368917	0.0290338	0.00201142	0.0116943	0.0	0.0	0.0466386
C-RaceHorses_832x480_30p_yuv420_8b	0.004	0.16412259615384617	399360	30.994476067499946	0.0162235	0.00540172	0.0204443	0.0	0.0	0.0478559
C-RaceHorses_832x480_30p_yuv420_8b	0.02	0.05963541666666667	399360	27.978608313441367	0.00799694	0.00274425	0.0165922	0.0	0.0	0.0329511
D-BQSquare_416x240_60p_yuv420_8b	0.0001	1.712099358974359	99840	41.81677111548516	0.0287393	0.00244072	0.00845476	0.0	0.0	0.0430941
D-BQSquare_416x240_60p_yuv420_8b	0.0004	0.9944711538461538	99840	36.77489909621147	0.0117254	0.00139318	0.00409537	0.0	0.0	0.020314
D-BQSquare_416x240_60p_yuv420_8b	0.001	0.6927083333333334	99840	34.166163733128926	0.00629235	0.000689595	0.00307076	0.0	0.0	0.0119606
D-BQSquare_416x240_60p_yuv420_8b	0.004	0.3942307692307692	99840	30.273578808671672	0.0114792	0.00158494	0.00552592	0.0	0.0	0.0303149
D-BQSquare_416x240_60p_yuv420_8b	0.02	0.1737179487179487	99840	25.612561456749646	0.00285819	0.00215694	0.0058954	0.0	0.0	0.0135119
D-BasketballPass_416x240_50p_yuv420_8b	0.0001	0.9548076923076924	99840	42.70290166657397	0.0204831	0.00222742	0.00633184	0.0	0.0	0.0325018
