seq_name	lmbda	rate_bpp	n_pixels	psnr_db
E-FourPeople_1280x720_60p_yuv420_8b	0.004	0.10046006944444444	921600	35.53705982715647
E-FourPeople_1280x720_60p_yuv420_8b	0.02	0.050078125	921600	31.250410190748134
E-Johnny_1280x720_60p_yuv420_8b	0.0001	0.3446267361111111	921600	44.20210463382536
E-Johnny_1280x720_60p_yuv420_8b	0.0004	0.1730642361111111	921600	41.75023270510897
E-Johnny_1280x720_60p_yuv420_8b	0.001	0.11344618055555555	921600	39.80166694113429
E-Johnny_1280x720_60p_yuv420_8b	0.004	0.05896701388888889	921600	37.35231833700884
E-Johnny_1280x720_60p_yuv420_8b	0.02	0.030842013888888888	921600	34.203144632763276
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0001	0.38493923611111114	921600	44.71766793913953
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0004	0.20268229166666665	921600	42.21665647119255
E-KristenAndSara_1280x720_60p_yuv420_8b	0.001	0.141015625	921600	40.43900017034772
E-KristenAndSara_1280x720_60p_yuv420_8b	0.004	0.07313368055555555	921600	36.90202714515359
E-KristenAndSara_1280x720_60p_yuv420_8b	0.02	0.03816840277777778	921600	33.14224588558012
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.0001	0.7144328703703704	2073600	42.80088108616552
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.0004	0.3667476851851852	2073600	39.54690627800193
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.001	0.22810570987654322	2073600	37.27162467059965
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.004	0.10674768518518518	2073600	33.72466031336481
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.02	0.043167438271604935	2073600	30.074737817744865
F-BasketballDrillText_832x480_50p_yuv420_8b	0.0001	0.8099559294871795	399360	42.41907765121225
F-BasketballDrillText_832x480_50p_yuv420_8b	0.0004	0.40675080128205127	399360	38.89545338735632
F-BasketballDrillText_832x480_50p_yuv420_8b	0.001	0.25330528846153844	399360	36.57846441561549
F-BasketballDrillText_832x480_50p_yuv420_8b	0.004	0.1289463141025641	399360	33.7172847628408
F-BasketballDrillText_832x480_50p_yuv420_8b	0.02	0.06901041666666667	399360	29.901975486566947
F-SlideEditing_1280x720_30p_yuv420_8b	0.0001	0.7999045138888888	921600	44.23931202992881
F-SlideEditing_1280x720_30p_yuv420_8b	0.0004	0.5270920138888889	921600	41.632477808213565
F-SlideEditing_1280x720_30p_yuv420_8b	0.001	0.41813368055555555	921600	38.373160027875485
F-SlideEditing_1280x720_30p_yuv420_8b	0.004	0.2774739583333333	921600	33.604571797336064
F-SlideEditing_1280x720_30p_yuv420_8b	0.02	0.15907118055555555	921600	27.824755854385103
F-SlideShow_1280x720_20p_yuv420_8b	0.0001	0.49861979166666665	921600	45.95826861622192
F-SlideShow_1280x720_20p_yuv420_8b	0.0004	0.2754253472222222	921600	43.33140624176352
F-SlideShow_1280x720_20p_yuv420_8b	0.001	0.2108767361111111	921600	41.23757432239648
F-SlideShow_1280x720_20p_yuv420_8b	0.004	0.14598090277777778	921600	36.892121146298315
F-SlideShow_1280x720_20p_yuv420_8b	0.02	0.08556423611111111	921600	30.70325609793904
