seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
kodim19	0.001	0.4602254231770833	393216	33.99804381168006	0.0515204	0.00809418	0.119578	0.0	0.0	0.201151
kodim19	0.004	0.18817138671875	393216	30.435405468612178	0.025519	0.00891655	0.11199	0.0	0.0	0.164676
kodim19	0.02	0.0728759765625	393216	27.278906200790352	0.00481472	0.00717277	0.0182282	0.0	0.0	0.0464515
kodim20	0.0001	0.93182373046875	393216	41.498781522242716	0.0592188	0.00910698	0.125329	0.0	0.0	0.215942
kodim20	0.0004	0.5159912109375	393216	38.22579233061362	0.0606297	0.0110062	0.179279	0.0	0.0	0.277332
kodim20	0.001	0.3118082682291667	393216	35.544818381349714	0.028208	0.00816086	0.0225198	0.0	0.0	0.0786002
kodim20	0.004	0.13043212890625	393216	32.08470712165556	0.015806	0.00850712	0.0216326	0.0	0.0	0.0652727
kodim20	0.02	0.052591959635416664	393216	29.09616741261473	0.00943434	0.00673719	0.0189833	0.0	0.0	0.0837435
kodim21	0.0001	1.449462890625	393216	40.61974580664709	0.0730084	0.0097268	0.124586	0.0	0.0	0.228712
kodim21	0.0004	0.8494873046875	393216	36.850249807762104	0.0721757	0.0114891	0.18579	0.0	0.0	0.293994
kodim21	0.001	0.5698649088541666	393216	34.11667834728837	0.055582	0.0085058	0.118313	0.0	0.0	0.208201
kodim21	0.004	0.2587076822916667	393216	29.895302285450448	0.0221733	0.00808378	0.0208975	0.0	0.0	0.0698702
kodim21	0.02	0.08528645833333333	393216	25.835661922753488	0.00703892	0.006767	0.0193522	0.0	0.0	0.0561038
kodim22	0.0001	1.6151326497395833	393216	40.18170176552609	0.0838413	0.0100747	0.122205	0.0	0.0	0.239696
kodim22	0.0004	0.8599650065104166	393216	36.11991976758481	0.0914088	0.0117925	0.186883	0.0	0.0	0.318334
kodim22	0.001	0.5135701497395834	393216	33.391154470974556	0.056148	0.00903673	0.118192	0.0	0.0	0.207174
kodim22	0.004	0.20027669270833334	393216	29.67295564223172	0.0238026	0.00876917	0.110469	0.0	0.0	0.161984
kodim22	0.02	0.0560302734375	393216	26.3920920291622	0.00564405	0.00794742	0.0210724	0.0	0.0	0.0549604
